NM_006941	884	704	376	999	614	628	574	574	134	47
NM_001003891	211	471	566	760	912	237	483	903	212	957
NM_152843	71	84	256	760	736	212	465	464	295	525
NM_032050	554	133	427	871	823	834	529	760	121	371
NM_015166	640	230	388	279	582	37	187	859	977	230
NM_014292	127	537	303	613	581	324	632	149	614	662
NM_007098	222	820	522	436	601	986	887	432	322	762
NM_177405	553	27	16	463	440	385	932	625	585	942
NM_018943	596	655	335	476	750	622	79	510	237	241
NM_033070	443	368	980	558	342	638	713	388	802	336
NM_001002879	612	22	954	543	510	248	110	808	807	203
NM_031454	322	90	783	95	337	520	422	331	350	770
NM_001001852	440	71	462	303	653	746	245	295	345	571
NM_016327	336	496	803	586	440	825	653	244	674	976
NM_014507	180	104	645	809	265	622	165	821	113	612
NM_019106	24	464	414	375	710	598	101	46	495	868
NM_000268	365	187	787	267	75	154	155	685	257	266
NM_015366	938	719	802	319	833	514	48	466	383	939
NM_030641	396	995	762	858	609	44	760	787	968	775
NM_005368	385	723	921	42	983	410	394	85	277	844
NM_006604	415	284	237	277	209	495	195	526	422	10
NM_014246	86	839	625	665	257	124	761	129	714	813
NM_012399	681	910	242	136	442	98	287	96	505	392
NR_002198	13	925	501	425	442	295	716	934	72	71
NM_004914	955	796	900	891	937	464	233	341	883	835
NM_203377	206	23	444	81	421	285	637	477	589	897
NM_001032364	935	746	604	461	171	973	951	823	420	596
NM_004810	838	283	498	522	983	874	248	892	444	493
NM_002305	272	523	402	171	246	576	311	256	499	452
NM_152236	312	795	990	473	320	889	361	368	695	319
NM_032608	200	97	895	201	183	42	23	971	258	101
NM_012143	678	471	506	711	998	418	856	338	331	44
NM_000487	299	456	411	176	761	555	463	553	291	205
NM_002676	137	646	714	708	678	770	424	365	241	772
NM_005446	446	904	751	71	443	74	222	330	823	967
NM_133642	932	545	592	77	372	834	118	632	367	704
NM_013416	457	238	270	74	404	357	653	842	916	659
NM_174975	387	274	72	767	513	999	222	441	832	880
NM_004173	479	720	594	565	214	60	212	968	713	999
NM_001013440	395	498	643	373	618	279	491	628	319	175
NM_002133	634	244	744	880	180	813	844	862	266	799
NM_003678	120	448	936	508	831	815	279	305	477	184
NM_014433	977	607	944	997	908	677	238	343	979	762
NM_017929	202	434	835	600	126	397	592	822	655	178
NM_001024939	276	290	906	819	88	900	188	912	187	869
NM_002854	249	494	126	64	441	172	596	369	716	756
NM_001097	652	656	863	188	57	363	877	42	914	230
NM_032758	889	367	236	215	544	184	610	121	239	381
NM_031910	617	965	137	317	155	634	343	896	332	828
NM_021822	172	410	75	862	893	916	121	322	875	435
NM_181829	531	129	520	759	411	28	917	141	959	52
NM_033257	592	651	527	963	283	475	840	236	141	952
NM_058238	20	586	254	609	596	590	915	0	126	427
NM_001003689	525	604	611	267	553	588	347	342	441	695
NM_003312	372	230	884	58	161	388	361	201	739	448
NM_032644	355	26	848	333	144	58	343	705	582	729
NM_003560	456	780	768	983	102	48	24	995	872	922
NM_134269	63	256	867	850	784	845	40	922	574	131
NM_014508	191	502	537	715	284	916	554	872	225	729
NM_021126	578	298	773	642	73	413	734	534	0	27
NM_181831	94	695	259	641	246	761	993	161	968	403
NM_006767	659	309	318	287	270	516	77	336	727	571
NM_004782	933	840	621	811	21	429	442	139	17	442
NM_006953	582	637	403	739	40	72	88	468	243	59
NM_005160	31	826	881	183	19	348	170	838	257	752
NM_152510	438	79	938	873	456	274	428	713	406	813
NM_006486	245	144	898	685	470	293	945	178	757	135
NM_032045	296	503	596	341	40	611	979	886	881	992
NM_001001929	137	478	992	730	494	317	863	602	500	223
NM_000343	29	496	490	670	110	937	248	747	46	996
NM_014550	397	580	947	358	309	255	465	852	661	760
NM_001018050	80	197	309	986	228	262	636	319	652	615
NM_015703	24	844	908	651	608	707	412	66	969	653
NM_014339	945	966	932	278	21	399	100	31	15	577
NM_000878	310	482	477	580	647	902	513	820	179	682
NM_001469	663	41	72	618	166	151	233	596	26	648
NM_000967	150	714	778	936	69	360	375	305	179	289
NM_006478	84	859	954	224	810	171	307	11	747	954
NM_020070	720	867	769	512	993	741	463	273	785	335
NM_001002837	208	170	587	792	208	162	296	613	897	663
NM_003347	38	805	594	178	400	812	850	909	726	252
NM_002430	360	623	637	987	874	568	420	569	987	700
NM_182527	460	579	244	21	356	906	433	302	880	481
NM_018957	505	966	449	509	999	423	237	728	399	636
NM_005318	622	720	316	189	89	815	911	654	265	610
NM_198856	458	523	239	639	452	500	816	229	181	425
NM_152267	873	63	151	611	465	490	286	886	835	111
NM_005940	291	104	994	668	107	423	18	779	849	122
NM_153497	725	531	127	238	882	482	180	809	607	92
NM_133633	709	2	106	117	817	904	424	994	970	267
NM_003405	347	756	389	969	122	505	759	501	145	963
NM_005659	683	231	273	154	776	748	933	731	810	58
NM_002650	651	981	810	912	190	54	514	56	940	419
NM_002058	100	670	705	116	590	793	569	795	826	4
NM_014634	973	107	442	143	669	458	720	361	714	665
NM_032051	752	262	149	540	804	442	521	942	287	185
NM_001008695	911	324	256	609	623	297	821	46	178	259
NM_004147	397	921	787	608	186	931	949	579	802	793
NM_148175	330	221	449	345	586	566	543	283	272	507
NM_015889	212	313	517	421	547	2	597	63	39	103
NM_030642	72	774	89	647	652	520	6	570	433	807
NM_014662	401	165	668	990	374	134	726	16	413	533
NM_003325	401	130	396	372	218	580	617	173	902	835
NM_001996	236	245	657	373	52	984	416	551	24	945
NM_001024843	723	591	422	4	394	221	33	364	615	1
NM_012429	328	695	644	848	975	197	755	826	637	852
NM_012324	598	689	430	661	620	248	968	137	706	67
NM_052839	395	843	700	533	305	245	956	819	963	676
NM_020461	581	788	735	681	521	355	120	530	150	341
NM_006860	313	177	523	357	674	443	929	742	48	722
NM_145344	932	90	302	961	528	393	19	227	586	343
NM_033016	731	617	233	803	611	807	331	1	31	21
NM_022727	709	464	879	690	297	229	52	593	833	359
NM_001013694	36	757	285	297	963	901	651	89	66	697
NM_206955	293	12	935	640	460	625	466	795	157	791
NM_005487	940	224	15	688	103	342	322	350	678	17
NM_001032365	863	758	206	669	736	23	623	170	795	692
NM_013986	479	808	869	698	206	105	433	990	340	776
NM_018995	860	388	109	601	936	665	283	488	781	421
NM_013385	697	527	830	751	364	290	39	258	562	184
NM_005984	967	432	821	117	890	931	205	277	605	792
NM_031488	805	284	84	110	833	518	619	201	247	890
NM_004711	638	800	287	843	828	312	848	858	728	649
NM_197967	90	261	455	693	186	591	708	896	625	330
NM_032311	710	80	962	261	254	934	438	250	493	260
NM_080764	358	717	639	501	656	589	231	566	526	19
NM_001007468	119	500	547	630	830	16	202	601	460	437
NM_030644	190	341	762	60	448	55	578	488	279	977
NM_013327	269	960	506	542	310	193	43	298	694	798
